episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
1192.0,0.578125,,full,,,seed,44.0
1208.0,0.4984375,,full,,,seed,44.0
1224.0,0.5012755102040816,,full,,,seed,44.0
1240.0,0.4765625,,full,,,seed,44.0
1256.0,0.4375,,full,,,seed,44.0
1272.0,0.4604591836734694,,full,,,seed,44.0
1288.0,0.423828125,,full,,,seed,44.0
1304.0,0.40625,,full,,,seed,44.0
1320.0,0.3941326530612244,,full,,,seed,44.0
1336.0,0.470703125,,full,,,seed,44.0
1352.0,0.546875,,full,,,seed,44.0
1368.0,0.4196428571428571,,full,,,seed,44.0
1384.0,0.49609375,,full,,,seed,44.0
1400.0,0.5046875000000001,,full,,,seed,44.0
1416.0,0.4413265306122449,,full,,,seed,44.0
1432.0,0.48828125,,full,,,seed,44.0
1448.0,0.5031249999999999,,full,,,seed,44.0
1464.0,0.534438775510204,,full,,,seed,44.0
1480.0,0.546875,,full,,,seed,44.0
1496.0,0.5343749999999999,,full,,,seed,44.0
1500.0,0.2653061224489796,,full,,,seed,44.0
1516.0,0.533203125,,full,,,seed,44.0
1532.0,0.4421874999999999,,full,,,seed,44.0
1548.0,0.4400510204081632,,full,,,seed,44.0
1564.0,0.439453125,,full,,,seed,44.0
1580.0,0.4671875,,full,,,seed,44.0
1596.0,0.4808673469387755,,full,,,seed,44.0
1612.0,0.462890625,,full,,,seed,44.0
1628.0,0.4078125,,full,,,seed,44.0
1644.0,0.4897959183673469,,full,,,seed,44.0
1660.0,0.439453125,,full,,,seed,44.0
1676.0,0.44375,,full,,,seed,44.0
1692.0,0.4426020408163265,,full,,,seed,44.0
1708.0,0.47265625,,full,,,seed,44.0
1724.0,0.4828125,,full,,,seed,44.0
1740.0,0.4961734693877551,,full,,,seed,44.0
1756.0,0.529296875,,full,,,seed,44.0
1772.0,0.4203125,,full,,,seed,44.0
1788.0,0.4451530612244898,,full,,,seed,44.0
1804.0,0.41796875,,full,,,seed,44.0
1820.0,0.4343749999999999,,full,,,seed,44.0
1836.0,0.4068877551020408,,full,,,seed,44.0
1852.0,0.490234375,,full,,,seed,44.0
1868.0,0.5109374999999999,,full,,,seed,44.0
1884.0,0.4311224489795918,,full,,,seed,44.0
1900.0,0.498046875,,full,,,seed,44.0
1916.0,0.4640625,,full,,,seed,44.0
1932.0,0.4681122448979591,,full,,,seed,44.0
1948.0,0.451171875,,full,,,seed,44.0
1964.0,0.4578125,,full,,,seed,44.0
1980.0,0.485969387755102,,full,,,seed,44.0
1996.0,0.5,,full,,,seed,44.0
2000.0,0.4375,,full,,,seed,44.0
2016.0,0.4591836734693877,,full,,,seed,44.0
2032.0,0.49609375,,full,,,seed,44.0
2048.0,0.5109375,,full,,,seed,44.0
2064.0,0.4336734693877551,,full,,,seed,44.0
2080.0,0.513671875,,full,,,seed,44.0
2096.0,0.4734374999999999,,full,,,seed,44.0
2112.0,0.4502551020408163,,full,,,seed,44.0
2128.0,0.443359375,,full,,,seed,44.0
